Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Medical First Responder,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,29-1071,0.277462203175206,0.7502777777777778,0.1659378120656162,Augmented
Medical Laboratory Aide,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,29-2012,-0.3935851657204582,0.5456944444444444,-0.3159067600970178,Isolated
Medical Laboratory Technologist,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health,3892.0,5401.0,3872.0,5574.0,29-2012,-0.3935851657204582,0.5456944444444444,-0.3159067600970178,Isolated
Medical Liaison,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,Y,Health,,,,,29-9092 ,1.5056696701614034,0.6302777777777777,1.0811544714908967,Augmented
Medical Provider and Membership Relations Officer,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,41-9099 ,0.4776825370436939,0.5841087962962964,0.3650567157228942,Displaced
Medical Records Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,29-2071 ,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
Medical Secretary,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,43-6013,1.0337143779854754,0.5113888888888888,0.8651615057972883,Displaced
Medical Transcriptionist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,43-6013,1.0337143779854754,0.5113888888888888,0.8651615057972883,Displaced
Mental Health Program Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,21-1093,0.7806366196871929,0.6691666666666666,0.5301823708708853,Augmented
Messman,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,35-9099 ,-0.6267809371496645,0.5396732026143791,-0.5068527545675964,Isolated
Metadata Specialist,Information and Communication,Other information service activities,Higher Education,No,No,Y,Digital Technology,,,,,19-3022,1.4774993998129229,0.6063888888888888,1.0962224713611994,Augmented
Metallurgical Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,19-4041,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Microbiology Lab Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,19-1099,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Microfinance Loan Officer,Financial and Insurance Activities,Monetary intermediation,Not Higher Education,No,No,Y,Financial Services,,,,,13-2072 ,1.2375369086685346,0.6316666666666667,0.8869014512124498,Augmented
Milk Processing Technician,Manufacturing,Manufacture of dairy products,Higher Education,No,No,N,N,,,,,51-9193,-0.9694564085988252,0.5850000000000001,-0.7400183918971032,Isolated
Millwright,Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,49-9081,-1.049182638556866,0.7641666666666665,-0.6128975246903028,Protected
Mine Safety Engineer,Mining and Quarrying,Mining of Metal Ores,Higher Education,Yes,No,N,N,242.0,351.0,259.0,365.0,17-2199,0.5129253723597855,0.6382638888888889,0.3642126341929727,Augmented
Ministry Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health,,,,,43-406,1.0117367283079466,0.5203728070175438,0.8376780740628624,Displaced
MIS Technical Support (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,15-1151 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Mobile Air-Conditioning (MAC) Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,49-9021 ,-0.9106473891239084,0.686111111111111,-0.6030509376864995,Protected
Mobile Phones And Handheld Gadgets Technician,Manufacturing,Manufacture of consumer electronics,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,17-3023,0.2307035718843949,0.6161111111111112,0.1689262820797958,Augmented
Mobile Robotics System Technician,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,53-6041,0.3835605034568007,0.5769444444444444,0.2958743105832043,Displaced
Mold Maker,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,51-4072 ,-1.1541431770984385,0.5399999999999999,-0.9329324014879046,Isolated
Motion Graphics Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,27-1013,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
Motorcycle/Small Engine Mechanic,Manufacturing,Manufacture of motor vehicles,Not Higher Education,No,No,N,N,,,,,49-3093,-1.5566147016651897,0.6050000000000001,-1.1570835949044576,Protected
Motor-Grader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,47-5022,-1.15238606969144,0.6227777777777778,-0.836120115009456,Protected
Multilateral Affairs Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,13-1199,1.4540568100648037,0.605625,1.0799401099752135,Augmented
Multimedia Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,Y,Digital Technology,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
Multimedia Journalist,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,Y,Digital Technology,,,,,27-3041 ,1.1083010062005718,0.6130555555555556,0.8149091009480316,Augmented
Municipal Fisherman,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No,N,N,,,,,45-3031,-1.3653770485609695,0.6044444444444445,-1.01568881556841,Protected
Municipal Services Clerk,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,N,,,,,43-9061 ,0.9698125993622836,0.4805555555555555,0.8415818223354928,Displaced
Museum Curator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,25-4012,0.7188278381031682,0.6888888888888888,0.4740270243491449,Augmented
Museum Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,39-7012,0.4571220527837438,0.6594444444444444,0.3149063030288013,Augmented
Museum Program Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,27-1012 ,-0.8672596469857901,0.4680555555555555,-0.7634293948049914,Isolated
Museum Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,25-4012,0.7188278381031682,0.6888888888888888,0.4740270243491449,Augmented
Museum Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,27-1012 ,-0.8672596469857901,0.4680555555555555,-0.7634293948049914,Isolated
Museums / Zoos / Aquariums Personnel,"Arts, Entertainment and Recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N,,,,,27-1012 ,-0.8672596469857901,0.4680555555555555,-0.7634293948049914,Isolated
Music Arranger Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,27-2042,-0.0481137107809598,0.5141666666666667,-0.0401348537431173,Isolated
Music Production Assistant,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes,N,N,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Music Teacher (Choral Director),Education,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-3021,0.5095961456095874,0.6,0.3813477822978413,Augmented
Nail Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,39-5094,-0.1802445932619149,0.6108333333333333,-0.1329303875306622,Protected
Natural Resource Planner,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,19-2041 ,1.121407837793284,0.6320138888888889,0.8032862393637309,Augmented
Natural Resources Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Network Cabling Technician,Manufacturing,Manufacture of communication equipment,Not Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,15-1152 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Network Operations Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,15-1152 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
News Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
News Reporter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,N,N,,,,,27-3041 ,1.1083010062005718,0.6130555555555556,0.8149091009480316,Augmented
Newsroom Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,11-1021,1.0159515689880594,0.7358333333333333,0.6222703360051864,Augmented
Nurse Anaesthetist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,25761.0,32203.0,29349.0,34534.0,29-1171 ,0.2700903207777707,0.7450000000000001,0.1629544935359216,Augmented
Nursery Teacher,Education,Pre-primary/pre-school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2012,0.3484516434659395,0.6813888888888889,0.2323978877671446,Augmented
Nursing Attendant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,31-1014 ,-0.4413828025834359,0.5907306763285024,-0.3343927839934498,Isolated
Nutrition Program Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health,895.0,1219.0,843.0,1209.0,29-1031,1.3739495407622582,0.6622222222222222,0.942682046022994,Augmented
Nutritional Product Developer,Manufacturing,Manufacture of other food products,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,29-1031,1.3739495407622582,0.6622222222222222,0.942682046022994,Augmented
Occupational Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,31-9099,-0.5134808423859277,0.5629166666666666,-0.4032964116239474,Isolated
Off-Highway Dump Truck (Rigid) Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,53-3032,-1.100644052209415,0.6174999999999999,-0.8043873614897142,Protected
Office Receptionist,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,43-4171,1.0117367283079466,0.4713888888888888,0.8872369031300521,Displaced
Oil and Gas Field Technician,Mining and Quarrying,"Extraction of crude petroleum, Extraction of natural gas",Higher Education,No,Yes,N,N,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Oil Palm Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,45-2091,-1.153152853548008,0.4963888888888889,-0.9824221671754836,Isolated
Online Store Executive Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,N,N,,,,,41-1011,0.005064176078184,0.5905555555555555,0.0038375200948016,Displaced
Operating Theatre Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,25761.0,32203.0,29349.0,34534.0,29-1171 ,0.2700903207777707,0.7450000000000001,0.1629544935359216,Augmented
Operations Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Operations Support Analyst,"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,No,N,N,,,,,19-3022,1.4774993998129229,0.6063888888888888,1.0962224713611994,Augmented
Optician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,29-1041,0.5783359562603659,0.7183333333333333,0.3643516524440306,Augmented
